scenario,victim_id,lat,lon,damage_level,found_by,found_by_agent,found_at_step
hurricane-harvey_00000132_post_disaster,6,29.90515625,-89.99609375,4,MARL_VDN,0,26
hurricane-harvey_00000132_post_disaster,1,29.90453125,-89.99421875,4,MARL_VDN,0,41
hurricane-harvey_00000132_post_disaster,0,29.90609375,-89.99609375,4,MARL_VDN,0,27
hurricane-harvey_00000132_post_disaster,4,29.90453125,-89.99484375,4,MARL_VDN,0,33
hurricane-harvey_00000132_post_disaster,5,29.90421875,-89.99609375,4,MARL_VDN,0,22
hurricane-harvey_00000132_post_disaster,3,29.90515625,-89.99484375,4,MARL_VDN,0,35
hurricane-harvey_00000132_post_disaster,3,29.90578125,-89.99578125,4,MARL_VDN,0,18
hurricane-harvey_00000132_post_disaster,4,29.90390625,-89.99546875,4,MARL_VDN,0,29
hurricane-harvey_00000132_post_disaster,5,29.90421875,-89.99390625,4,MARL_VDN,0,36
hurricane-harvey_00000132_post_disaster,6,29.90609375,-89.99390625,4,MARL_VDN,1,10
hurricane-harvey_00000132_post_disaster,0,29.90609375,-89.99609375,4,MARL_VDN,0,22
hurricane-harvey_00000132_post_disaster,0,29.90609375,-89.99453125,4,MARL_VDN,1,11
hurricane-harvey_00000132_post_disaster,1,29.90421875,-89.99390625,4,MARL_VDN,1,25
hurricane-harvey_00000132_post_disaster,2,29.90421875,-89.99609375,4,MARL_VDN,1,44
hurricane-harvey_00000132_post_disaster,5,29.90484375,-89.99609375,4,MARL_VDN,0,24
hurricane-harvey_00000132_post_disaster,3,29.90546875,-89.99453125,4,MARL_VDN,0,37
hurricane-harvey_00000132_post_disaster,1,29.90609375,-89.99453125,4,MARL_VDN,1,11
hurricane-harvey_00000132_post_disaster,0,29.90453125,-89.99484375,4,MARL_VDN,1,18
hurricane-harvey_00000132_post_disaster,6,29.90609375,-89.99453125,4,MARL_VDN,1,11
hurricane-harvey_00000132_post_disaster,1,29.90453125,-89.99484375,4,MARL_VDN,1,18
hurricane-harvey_00000132_post_disaster,3,29.90484375,-89.99609375,4,MARL_VDN,0,26
hurricane-harvey_00000132_post_disaster,5,29.90578125,-89.99453125,4,MARL_VDN,0,36
hurricane-harvey_00000132_post_disaster,4,29.90609375,-89.99609375,4,MARL_VDN,0,28
hurricane-harvey_00000132_post_disaster,0,29.90484375,-89.99546875,4,MARL_VDN,0,37
hurricane-harvey_00000132_post_disaster,0,29.90515625,-89.99609375,4,MARL_VDN,0,26
hurricane-harvey_00000132_post_disaster,4,29.90484375,-89.99453125,4,MARL_VDN,0,40
hurricane-harvey_00000132_post_disaster,4,29.90609375,-89.99390625,4,MARL_VDN,1,10
hurricane-harvey_00000132_post_disaster,0,29.90578125,-89.99578125,4,MARL_VDN,0,28
hurricane-harvey_00000132_post_disaster,0,29.90453125,-89.99609375,4,MARL_VDN,0,29
hurricane-harvey_00000132_post_disaster,3,29.90484375,-89.99609375,4,MARL_VDN,0,29
hurricane-harvey_00000132_post_disaster,0,29.90421875,-89.99390625,4,MARL_VDN,0,36
hurricane-harvey_00000132_post_disaster,3,29.90546875,-89.99609375,4,MARL_VDN,0,21
hurricane-harvey_00000132_post_disaster,5,29.90484375,-89.99453125,4,MARL_VDN,0,33
hurricane-harvey_00000132_post_disaster,6,29.90609375,-89.99609375,4,MARL_VDN,0,13
hurricane-harvey_00000132_post_disaster,4,29.90453125,-89.99421875,4,MARL_VDN,0,26
hurricane-harvey_00000132_post_disaster,5,29.90546875,-89.99484375,4,MARL_VDN,0,66
hurricane-harvey_00000132_post_disaster,4,29.90609375,-89.99390625,4,MARL_VDN,1,10
hurricane-harvey_00000132_post_disaster,0,29.90453125,-89.99484375,4,MARL_VDN,1,18
hurricane-harvey_00000132_post_disaster,5,29.90609375,-89.99453125,4,MARL_VDN,1,14
hurricane-harvey_00000132_post_disaster,2,29.90484375,-89.99515625,4,MARL_VDN,1,20
hurricane-harvey_00000132_post_disaster,6,29.90546875,-89.99546875,4,MARL_VDN,0,20
hurricane-harvey_00000132_post_disaster,5,29.90453125,-89.99390625,4,MARL_VDN,0,37
hurricane-harvey_00000132_post_disaster,2,29.90609375,-89.99453125,4,MARL_VDN,1,14
hurricane-harvey_00000132_post_disaster,0,29.90390625,-89.99453125,4,MARL_VDN,1,21
hurricane-harvey_00000132_post_disaster,2,29.90609375,-89.99453125,4,MARL_VDN,1,11
hurricane-harvey_00000132_post_disaster,3,29.90453125,-89.99546875,4,MARL_VDN,1,18
hurricane-harvey_00000132_post_disaster,1,29.90609375,-89.99609375,4,MARL_VDN,0,43
hurricane-harvey_00000132_post_disaster,0,29.90546875,-89.99609375,4,MARL_VDN,0,18
hurricane-harvey_00000132_post_disaster,2,29.90546875,-89.99453125,4,MARL_VDN,0,32
hurricane-harvey_00000132_post_disaster,2,29.90515625,-89.99609375,4,MARL_VDN,0,33
hurricane-harvey_00000132_post_disaster,0,29.90609375,-89.99453125,4,MARL_VDN,0,43
hurricane-harvey_00000132_post_disaster,3,29.90578125,-89.99578125,4,MARL_VDN,0,18
hurricane-harvey_00000132_post_disaster,4,29.90484375,-89.99453125,4,MARL_VDN,1,18
hurricane-harvey_00000132_post_disaster,4,29.90484375,-89.99609375,4,MARL_VDN,0,25
hurricane-harvey_00000132_post_disaster,1,29.90453125,-89.99390625,4,MARL_VDN,0,38
hurricane-harvey_00000132_post_disaster,5,29.90484375,-89.99609375,4,MARL_VDN,0,26
hurricane-harvey_00000132_post_disaster,4,29.90546875,-89.99484375,4,MARL_VDN,0,36
hurricane-harvey_00000132_post_disaster,1,29.90546875,-89.99546875,4,MARL_VDN,0,22
hurricane-harvey_00000132_post_disaster,3,29.90453125,-89.99390625,4,MARL_VDN,0,41
hurricane-harvey_00000132_post_disaster,0,29.90609375,-89.99390625,4,MARL_VDN,1,10
hurricane-harvey_00000132_post_disaster,1,29.90515625,-89.99609375,4,MARL_VDN,0,25
hurricane-harvey_00000132_post_disaster,4,29.90390625,-89.99390625,4,MARL_VDN,0,49
hurricane-harvey_00000137_post_disaster,6,29.90515625,-89.99609375,4,MARL_VDN,0,26
hurricane-harvey_00000137_post_disaster,1,29.90453125,-89.99421875,4,MARL_VDN,0,41
hurricane-harvey_00000137_post_disaster,0,29.90609375,-89.99609375,4,MARL_VDN,0,27
hurricane-harvey_00000137_post_disaster,4,29.90453125,-89.99484375,4,MARL_VDN,0,33
hurricane-harvey_00000137_post_disaster,5,29.90421875,-89.99609375,4,MARL_VDN,0,22
hurricane-harvey_00000137_post_disaster,3,29.90515625,-89.99484375,4,MARL_VDN,0,35
hurricane-harvey_00000137_post_disaster,3,29.90578125,-89.99578125,4,MARL_VDN,0,18
hurricane-harvey_00000137_post_disaster,4,29.90390625,-89.99546875,4,MARL_VDN,0,29
hurricane-harvey_00000137_post_disaster,5,29.90421875,-89.99390625,4,MARL_VDN,0,36
hurricane-harvey_00000137_post_disaster,6,29.90609375,-89.99390625,4,MARL_VDN,1,10
hurricane-harvey_00000137_post_disaster,0,29.90609375,-89.99609375,4,MARL_VDN,0,22
hurricane-harvey_00000137_post_disaster,0,29.90609375,-89.99453125,4,MARL_VDN,1,11
hurricane-harvey_00000137_post_disaster,1,29.90421875,-89.99390625,4,MARL_VDN,1,25
hurricane-harvey_00000137_post_disaster,2,29.90421875,-89.99609375,4,MARL_VDN,1,44
hurricane-harvey_00000137_post_disaster,5,29.90484375,-89.99609375,4,MARL_VDN,0,24
hurricane-harvey_00000137_post_disaster,3,29.90546875,-89.99453125,4,MARL_VDN,0,37
hurricane-harvey_00000137_post_disaster,1,29.90609375,-89.99453125,4,MARL_VDN,1,11
hurricane-harvey_00000137_post_disaster,0,29.90453125,-89.99484375,4,MARL_VDN,1,18
hurricane-harvey_00000137_post_disaster,6,29.90609375,-89.99453125,4,MARL_VDN,1,11
hurricane-harvey_00000137_post_disaster,1,29.90453125,-89.99484375,4,MARL_VDN,1,18
hurricane-harvey_00000137_post_disaster,3,29.90484375,-89.99609375,4,MARL_VDN,0,26
hurricane-harvey_00000137_post_disaster,5,29.90578125,-89.99453125,4,MARL_VDN,0,36
hurricane-harvey_00000137_post_disaster,4,29.90609375,-89.99609375,4,MARL_VDN,0,28
hurricane-harvey_00000137_post_disaster,0,29.90484375,-89.99546875,4,MARL_VDN,0,37
hurricane-harvey_00000137_post_disaster,0,29.90515625,-89.99609375,4,MARL_VDN,0,26
hurricane-harvey_00000137_post_disaster,4,29.90484375,-89.99453125,4,MARL_VDN,0,40
hurricane-harvey_00000137_post_disaster,4,29.90609375,-89.99390625,4,MARL_VDN,1,10
hurricane-harvey_00000137_post_disaster,0,29.90578125,-89.99578125,4,MARL_VDN,0,28
hurricane-harvey_00000137_post_disaster,0,29.90453125,-89.99609375,4,MARL_VDN,0,29
